name,python_name,title,description,topic,object_type,dimensions,source,license,file
AtrialFibrillation_list,atrial_fibrillation,Atrial Fibrillation Multivariate Time Series,"Two-channel ECG recordings for 30 atrial fibrillation trials.",physiological_signals,list,"30 trials; 640 x 2 samples each",mlmts 1.1.2,GPL-2,AtrialFibrillation_list.rda
BasicMotions_list,basic_motions,Basic Motions Multivariate Time Series,"Six-dimensional motion recordings for basic human activities.",human_motion,list,"80 trials; 100 x 6 samples each",mlmts 1.1.2,GPL-2,BasicMotions_list.rda
FingerMovements_char,finger_movements,Finger Movements Multivariate Time Series,"Instructions for obtaining the external finger-movement time-series dataset.",human_motion,character,"1 character value",mlmts 1.1.2,GPL-2,FingerMovements_char.rda
HandMovementDir_char,hand_movement_direction,Hand Movement Direction Multivariate Time Series,"Instructions for obtaining the external hand-movement-direction dataset.",human_motion,character,"1 character value",mlmts 1.1.2,GPL-2,HandMovementDir_char.rda
Heartbeat_char,heartbeat,Heartbeat Multivariate Time Series,"Instructions for obtaining the external healthy and pathological heartbeat dataset.",physiological_signals,character,"1 character value",mlmts 1.1.2,GPL-2,Heartbeat_char.rda
KinData_df,kinematics,Kinematics Dataset,"Kinematic wrist-velocity and object-size measurements.",biomechanics,data.frame,"848 x 121",PredPsych 0.4,Apache-2.0,KinData_df.rda
StandWalkJump_list,stand_walk_jump,Stand Walk Jump Multivariate Time Series,"ECG recordings collected during standing walking and jumping activities.",physiological_signals,list,"27 trials; 2500 x 4 samples each",mlmts 1.1.2,GPL-2,StandWalkJump_list.rda
Stepping_df,stepping,Stepping and Heart Rate,"Heart-rate responses collected during stepping exercises.",gait,data.frame,"30 x 6",sur 1.0.4,GPL-2-or-later,Stepping_df.rda
acceldata2_list,accelerometer_data_2,Accelerometer Data Example 2,"Physical-activity counts labels flags and participant demographics.",accelerometry,list,"4 components; 1288 x 1440 activity matrix",accelmissing 2.2,GPL-2-or-later,acceldata2_list.rda
acceldata_list,accelerometer_data,Accelerometer Data Example,"Physical-activity counts labels flags and participant demographics.",accelerometry,list,"4 components; 1526 x 1440 activity matrix",accelmissing 2.2,GPL-2-or-later,acceldata_list.rda
accelimp_list,accelerometer_imputed,Accelerometer Data with Imputations,"Imputed accelerometer physical-activity measurements.",accelerometry,list,"1 component; 1288 x 1440",accelmissing 2.2,GPL-2-or-later,accelimp_list.rda
admiral_vs_tbl_df,vital_signs,Vital Signs Dataset,"Clinical vital-sign observations in an SDTM-style structure.",clinical,tibble,"29643 x 24",admiral.test 0.7.0,Apache-2.0,admiral_vs_tbl_df.rda
angle_walk_array,walking_joint_angles,Hip and Knee Angle while Walking,"Hip and knee angles across the gait cycle for 39 participants.",gait,array,"20 x 39 x 2",fda 6.3.0,GPL-2-or-later,angle_walk_array.rda
body_metrics_df,body_metrics,Body Temperature and Heart Rate,"Body temperature and heart-rate measurements for 130 healthy individuals.",physiological_signals,data.frame,"130 x 3",UsingR 2.0-7,GPL-2-or-later,body_metrics_df.rda
infant_walking_df,infant_walking,Infant Walking,"Walking-onset ages for infant exercise and no-exercise groups.",gait,data.frame,"6 x 2",IIS 1.1,GPL-2,infant_walking_df.rda
knee_speed_tbl_df,knee_speed,Peak Knee Velocity in Walking,"Peak knee flexion and extension velocities during walking.",gait,tibble,"18 x 2",pubh 2.0.0,GPL-2,knee_speed_tbl_df.rda
